date,status,open,close,description,source
2026-01-15,closed,,,Municipal Corporation Election in Maharashtra,https://nsearchives.nseindia.com/content/circulars/CMTR72260.pdf
2026-01-26,closed,,,Republic Day,https://nsearchives.nseindia.com/content/circulars/CMTR71775.pdf
2026-02-01,special,09:15,15:30,Live trading session (Sunday) for presentation of the Union Budget,https://nsearchives.nseindia.com/content/circulars/CMTR72349.pdf
2026-03-03,closed,,,Holi,https://nsearchives.nseindia.com/content/circulars/CMTR71775.pdf
2026-03-26,closed,,,Shri Ram Navami,https://nsearchives.nseindia.com/content/circulars/CMTR71775.pdf
2026-03-31,closed,,,Shri Mahavir Jayanti,https://nsearchives.nseindia.com/content/circulars/CMTR71775.pdf
2026-04-03,closed,,,Good Friday,https://nsearchives.nseindia.com/content/circulars/CMTR71775.pdf
2026-04-14,closed,,,Dr. Baba Saheb Ambedkar Jayanti,https://nsearchives.nseindia.com/content/circulars/CMTR71775.pdf
2026-05-01,closed,,,Maharashtra Day,https://nsearchives.nseindia.com/content/circulars/CMTR71775.pdf
2026-05-28,closed,,,Bakri Id,https://nsearchives.nseindia.com/content/circulars/CMTR71775.pdf
2026-06-26,closed,,,Muharram,https://nsearchives.nseindia.com/content/circulars/CMTR71775.pdf
2026-09-14,closed,,,Ganesh Chaturthi,https://nsearchives.nseindia.com/content/circulars/CMTR71775.pdf
2026-10-02,closed,,,Mahatma Gandhi Jayanti,https://nsearchives.nseindia.com/content/circulars/CMTR71775.pdf
2026-10-20,closed,,,Dussehra,https://nsearchives.nseindia.com/content/circulars/CMTR71775.pdf
2026-11-08,special,,,Muhurat Trading (Sunday; Diwali Laxmi Pujan) - timings not yet notified,https://nsearchives.nseindia.com/content/circulars/CMTR71775.pdf
2026-11-10,closed,,,Diwali-Balipratipada,https://nsearchives.nseindia.com/content/circulars/CMTR71775.pdf
2026-11-24,closed,,,Prakash Gurpurb Sri Guru Nanak Dev,https://nsearchives.nseindia.com/content/circulars/CMTR71775.pdf
2026-12-25,closed,,,Christmas,https://nsearchives.nseindia.com/content/circulars/CMTR71775.pdf
